timestamp,normU,maxDeltaAlpha,interfaceHeightMaxRel,interfaceHeightMinRel
0.341261,0.000458859473624,0.003352,-0.000682984022502,-0.000710616170145
0.341872,0.000450153620345,0.002473,-0.000681700070821,-0.000710055445109
0.342356,0.000440120802216,0.001363,-0.000680636081677,-0.000709684066978
0.343086,0.000430635590816,0.001038,-0.000679606847837,-0.000709183503661
0.343649,0.000422527313851,0.001125,-0.000679460598557,-0.000708567092703
0.34418,0.0004163136245,0.001807,-0.000680061061482,-0.000709569006209
0.344691,0.00041131789409,0.001749,-0.000680952497909,-0.000711411827722
0.345283,0.000404423100296,0.001965,-0.000682050479267,-0.000712276452566
0.345866,0.000396779328792,0.002592,-0.000684038355046,-0.000713555198033
0.346366,0.000391058998784,0.001858,-0.000685257140196,-0.000713238984541
0.347064,0.000382715427556,0.002376,-0.000685423855091,-0.000714433598512
0.347566,0.000376585145871,0.001923,-0.000687341327146,-0.000715915773104
0.348229,0.000370315998763,0.00275,-0.000688238079762,-0.000716660800085
0.348803,0.00036545197151,0.002025,-0.000688668716283,-0.000718525370894
0.349463,0.000361525271186,0.002806,-0.000688821002032,-0.000720101817023
0.350039,0.000360308233203,0.001977,-0.000689873528897,-0.000721028620355
0.35077,0.000358226402094,0.00212,-0.000691169722594,-0.000722139555084
0.351301,0.000356786670724,0.003567,-0.000693043426043,-0.000724584401318
0.351933,0.000355894723609,0.002747,-0.000695693362906,-0.000725078750173
0.352407,0.000354327378019,0.001783,-0.000696541903921,-0.000725442021485
0.353112,0.000350907732867,0.002746,-0.000696833814118,-0.000726309235297
0.353651,0.000349580926611,0.001112,-0.000697032296644,-0.000726268510027
0.354402,0.000349791667932,0.00229,-0.000699508994879,-0.000726599297795
0.354943,0.000348850868898,0.001951,-0.000699892850714,-0.000726928829443
0.355671,0.000346246783632,0.001859,-0.000700616579201,-0.000727595301783
0.356154,0.000342874925133,0.001011,-0.000700353925715,-0.000727184967495
0.356754,0.000340709073565,0.001646,-0.000700649938599,-0.000727414556406
0.357508,0.000338788610434,0.00153,-0.000700357155953,-0.000728026567343
0.357939,0.000337411143038,0.001024,-0.000700121290201,-0.00072698677801
0.358623,0.000336090577999,0.001723,-0.000699765652322,-0.000726912561856
0.359319,0.000333929072159,0.002363,-0.000699496050457,-0.000727360725125
0.359814,0.000332902733505,0.001854,-0.000698759789759,-0.00072761357542
0.360485,0.000332802582282,0.003875,-0.00069777234401,-0.000727573981616
0.360924,0.000330118196618,0.002175,-0.000696554929788,-0.000726775281011
0.361592,0.000326995991278,0.003356,-0.000695203753376,-0.000726180938403
0.362072,0.000324856856041,0.001612,-0.000694834578762,-0.000726316361845
0.362634,0.000321039186231,0.002631,-0.000694061536758,-0.000724198970059
0.363231,0.000318729074749,0.002383,-0.000694026616461,-0.000723895099286
0.363735,0.000315639110521,0.001821,-0.000693765723933,-0.000722766867302
0.364438,0.000311306437828,0.001726,-0.000693290508198,-0.000721885717165
0.365247,0.000304570626692,0.002337,-0.000693441317979,-0.000722514402846
